"","Estimate","Std. Error","t value","Pr(>|t|)"
"age75",-0.192879745721945,2.23935815974915,-0.0861317091606065,0.931375261761607
"age76",-0.567879745721844,2.23935815974911,-0.25359040636245,0.799852957973479
"age77",-0.792123119588102,1.4240167495134,-0.556259692773121,0.57813109802314
"age78",0.770514337174133,2.23772874071478,0.344328748679348,0.730655937582044
"age79",-0.60828536883219,1.83127922601035,-0.332164183480314,0.739819970267057
"age80",3.88411521915513,3.16063328786402,1.22890410414555,0.219334879876822
"age81",-0.0774807527465213,1.42482166195879,-0.0543792636055264,0.956641532272008
"age82",-0.767983145264424,1.59170941185858,-0.482489542087761,0.629541177925769
"age83",-3.292672946637,3.16046974558349,-1.04183023781141,0.297688207158668
"age84",-0.400410224706289,1.83294954784974,-0.218451307171011,0.827112507621215
"age85",-1.29267294663702,3.1604697455834,-0.409012916020939,0.682598983163173
"age90",-1.84308654480686,3.16062999057026,-0.583138978718076,0.559903032944749
"age91",2.30712025427804,2.23935815974914,1.03025960551861,0.303083857033854
"age93",-1.09308654480686,3.16062999057027,-0.345844514564528,0.729516714361605
"sexMale",0.199586401830118,0.174904266703219,1.14111797037393,0.254035452158206
"siteUrban",-2.17678816579215,0.176712240380282,-12.318264773893,5.05328234172919e-33
