rec_id
254
331
343
494
501
692
696
740
741
742
744
749
768
814
815
897
1019
1020
1143
1149
1329
1330
1651
1810
1818
1830
1853
1854
1885
1921
1923
1925
1926
1927
1928
1929
1931
1932
1933
1942
1998
2008
2037
2077
2116
2143
2166
2254
5810
5815
5816
5827
5829
