part_age1,pop5yr
0_4,3240609
5_9,3541435
10_14,2965018
15_19,2125638
20_24,1734777
25_29,1385261
30_34,1039380
35_39,878387
40_44,811761
45_49,649909
50_54,512846
55_59,374643
60_64,290650
65_69,237652
70_74,182638
75,302622
