part_age1,pop5yr
0_4,1458907
5_9,1425869
10_14,1375073
15_19,1214359
20_24,1086981
25_29,937221
30_34,731494
35_39,586000
40_44,463984
45_49,341899
50_54,256225
55_59,213256
60_64,152552
65_69,117289
70_74,74775
75,123134
