contact_0_4,contact_5_9,contact_10_14,contact_15_19,contact_20_24,contact_25_29,contact_30_34,contact_35_39,contact_40_44,contact_45_49,contact_50_54,contact_55_59,contact_60_64,contact_65_69,contact_70_74,contact_75
7.510271844,3.603883477,1.684976812,0.891452284,1.304888687,1.705507073,1.68637586,1.242221261,0.656567838,0.381547823,0.365877795,0.296176225,0.176672893,0.136956472,0.062811822,0.032274702
3.52250694,23.59104995,3.742675917,0.939926512,0.561478538,1.126351478,1.287199346,1.133390409,0.758899083,0.368089657,0.236128115,0.231032324,0.182220867,0.115902803,0.0453944,0.029731019
1.158893976,5.521100671,14.15054981,1.564356886,0.761364453,0.58432189,0.781021183,0.78934805,0.745424008,0.44024239,0.233102968,0.120375564,0.081881951,0.079552629,0.049387929,0.029165778
0.553585779,1.196634984,3.788895959,8.181841855,2.238761919,1.056368377,0.743117905,0.841623709,0.803697538,0.672388764,0.382640829,0.205483719,0.119307813,0.040231742,0.020993425,0.011521959
0.816570423,0.651160288,0.763574304,3.176991746,4.416916146,2.214428867,1.350049408,1.112780171,0.832630345,0.789476047,0.577543229,0.347531136,0.20176999,0.026572058,0.020288976,0.014364323
1.31606201,0.615707507,0.445230798,1.111481916,2.439063918,3.012831438,1.861149325,1.377630683,1.085964062,0.837168447,0.739488867,0.432453331,0.2578121,0.028015957,0.010104527,0.008141782
1.295174471,1.286555627,1.080546493,0.565401286,1.220316073,1.875002552,2.103484176,1.666251903,1.233819195,0.967423028,0.681789741,0.504136258,0.269616448,0.031966023,0.01519883,0.010610448
1.193167024,1.502220562,1.268256692,0.947170575,0.806286675,1.352465537,1.574924227,1.885024273,1.599083023,1.063041996,0.803039875,0.435222261,0.219123385,0.05196815,0.024056972,0.007698363
0.872602135,1.16379956,1.289719482,1.009641993,0.891142739,1.121795851,1.400249941,1.473560799,1.613873704,1.30741898,0.969529155,0.418302413,0.266022668,0.033543021,0.022049871,0.009137628
0.510382946,0.888580723,1.091945016,1.278032995,0.824947016,0.924696988,1.082893156,1.212731542,1.218272926,1.173586693,0.865828196,0.51422884,0.220054997,0.027111054,0.019750486,0.01443692
0.511055815,0.650944542,0.986950342,0.963789303,0.814174993,1.060468481,1.086223254,1.03612253,1.371291727,1.392289903,1.105573464,0.726528444,0.280743227,0.031136868,0.022595458,0.018749674
0.805861994,1.019642713,1.010725055,0.879258177,0.709189743,0.984198507,1.142778401,0.93255618,1.087714422,0.970082893,0.968830221,0.74333846,0.422361115,0.081100234,0.029857174,0.019555772
0.635067423,0.841350087,0.790005206,0.557317269,0.508531036,0.720599784,0.807029907,0.89628887,0.831006359,0.806970682,0.711371464,0.725327454,0.294927899,0.09683976,0.038472277,0.011228654
0.387766702,0.704331372,0.621869341,0.252369193,0.20724342,0.200557948,0.241459345,0.25040189,0.152979521,0.10382201,0.132879415,0.15715092,0.115223434,0.080436341,0.062400503,0.015906627
0.186629821,0.586243088,0.625146096,0.42228329,0.088701302,0.154607294,0.118130308,0.201190455,0.203304592,0.164348835,0.162387436,0.134886966,0.132640986,0.090504877,0.058353151,0.064371926
0.242434778,0.39483573,0.620065348,0.454438863,0.085382361,0.089839575,0.10451838,0.14089405,0.151241826,0.125789456,0.175762107,0.09289688,0.068026625,0.085379292,0.057660275,0.033854484
